scenario,style,rtt_us_nominal,rate,n,repeat,epoch,p50_ms,p95_ms,p99_ms,p99_missing,avg_ms,min_ms,max_ms,reqs,dropped_iterations,dropped_ratio,error_rate,valid,calib_p50_us,file
b,batchfetch,300,20,,1,1781176026,12.879117,17.989297,23.560229,0,13.376899082465624,7.500187,90.658824,2401,0,0.0,0,1,531,b-batchfetch-rtt300-r20-rep1-1781176026.json
b,batchfetch,300,20,,1,1781177401,15.24915,41.97944,75.982702,0,18.504094553935882,9.466475,196.737723,2401,0,0.0,0,1,548,b-batchfetch-rtt300-r20-rep1-1781177401.json
b,batchfetch,5000,20,,1,1781191932,51.475252,57.091027,62.037358,0,51.55164617451062,40.383749,105.710591,2401,0,0.0,0,1,6447,b-batchfetch-rtt5000-r20-rep1-1781191932.json
b,batchfetch,5000,20,,1,1781195434,46.160403,50.892967,57.833043,0,46.662742673885816,40.17658,127.118772,2401,0,0.0,0,1,5945,b-batchfetch-rtt5000-r20-rep1-1781195434.json
b,batchfetch,5000,20,,1,1781199059,55.553603,64.077673,69.715067,0,55.907677961682616,43.069853,124.530124,2401,0,0.0,0,1,6465,b-batchfetch-rtt5000-r20-rep1-1781199059.json
b,batchfetch,5000,20,,1,1781202728,53.796943,62.958635,67.558565,0,54.5313975968345,42.851704,159.368156,2401,0,0.0,0,1,6510,b-batchfetch-rtt5000-r20-rep1-1781202728.json
b,batchfetch,5000,20,,1,1781207837,55.942873,64.910371,68.993743,0,56.385472264056695,44.111985,126.265537,2401,0,0.0,0,1,6487,b-batchfetch-rtt5000-r20-rep1-1781207837.json
b,byid,0,20,,1,1781165475,7.753042,11.254019,14.713164,0,8.035186752186585,4.027147,35.736028,2401,0,0.0,0,1,40,b-byid-rtt0-r20-rep1-1781165475.json
b,byid,0,20,,1,1781166662,12.08386,17.64119,25.745841,0,12.698613618075784,7.433932,42.080384,2401,0,0.0,0,1,41,b-byid-rtt0-r20-rep1-1781166662.json
b,byid,0,20,,1,1781167848,24.201453,36.099362,55.587551,0,25.704582826322426,15.47005,114.207654,2401,0,0.0,0,1,41,b-byid-rtt0-r20-rep1-1781167848.json
b,byid,0,20,,1,1781169031,38.067849,83.288122,196.226331,0,45.332414014577246,23.73147,404.346961,2401,0,0.0,0,1,42,b-byid-rtt0-r20-rep1-1781169031.json
b,byid,0,20,,1,1781170221,61.942710500000004,81.98024609999999,119.31522936999995,0,64.05112131499999,39.277635,265.483209,2400,0,0.0,0,1,51,b-byid-rtt0-r20-rep1-1781170221.json
b,byid,10000,20,1000,1,1781222696,39971.430541,60005.607182399996,60008.48033316,0,38405.695203905125,5001.51501,60009.988565,1297,679,0.52352,0.9136468774094063,0,12843,b-byid-rtt10000-r20-n1000-rep1-1781222696.json
b,byid,10000,20,40,1,1781332305,2398.1804225,4537.36871885,5002.74095345,0,2123.0819579098415,452.346941,5273.672406,6000,0,0.0,0.014833333333333334,0,11966,b-byid-rtt10000-r20-n40-rep1-1781332305.json
b,byid,10000,20,40,2,1781332608,2404.0298905,4529.5693088,5002.17087895,0,2065.0835073291664,0.040375,7263.112589,6000,0,0.0,0.010666666666666666,0,11966,b-byid-rtt10000-r20-n40-rep2-1781332608.json
b,byid,10000,20,40,3,1781332913,2411.588543,4553.316387,5001.434696,0,2146.8831604419242,448.369324,5107.4367,6001,0,0.0,0.013664389268455257,0,11966,b-byid-rtt10000-r20-n40-rep3-1781332913.json
b,byid,10000,20,500,1,1781219358,38168.451392,60002.7873308,60005.353856999995,0,36661.548802764766,5000.964254,60006.751317,1305,665,0.50958,0.8084291187739464,0,12902,b-byid-rtt10000-r20-n500-rep1-1781219358.json
b,byid,10000,20,60,1,1781334422,17345.872544,30222.6157035,32423.0494735,0,17286.619227339914,752.814532,33539.201244,5551,429,0.07728,0.18645289137092416,0,13183,b-byid-rtt10000-r20-n60-rep1-1781334422.json
b,byid,10000,20,60,2,1781334752,19155.014808,34019.909587,36392.516419,0,19154.024116308236,767.651784,37666.623633,5401,495,0.09165,0.22384743566006296,0,13183,b-byid-rtt10000-r20-n60-rep2-1781334752.json
b,byid,10000,20,60,3,1781335083,21423.231269,35530.0390731,37450.10916414,0,21345.447379908095,3497.789262,39076.271029,5355,521,0.09729,0.19757236227824462,0,13183,b-byid-rtt10000-r20-n60-rep3-1781335083.json
b,byid,10000,20,80,1,1781336438,29720.353874,51018.00726409999,53701.13255002,0,29267.980326210833,893.014939,54999.412443,4843,756,0.1561,0.27359074953541196,0,11949,b-byid-rtt10000-r20-n80-rep1-1781336438.json
b,byid,10000,20,80,1,1781336901,35388.185769,59538.7558286,60001.872069280005,0,34846.36369040796,989.641874,60003.400086,4589,893,0.1946,0.2922205273480061,0,12966,b-byid-rtt10000-r20-n80-rep1-1781336901.json
b,byid,10000,20,,1,1781211200,298.21862,317.371687,327.617864,0,297.5609162336531,238.16371,341.569064,2401,0,0.0,0,1,12948,b-byid-rtt10000-r20-rep1-1781211200.json
b,byid,10000,20,,1,1781214433,24451.738201499997,41899.130340949996,43520.3667049,0,24201.946617375866,1151.854329,44649.119809,1724,471,0.2732,0.2923433874709977,0,12687,b-byid-rtt10000-r20-rep1-1781214433.json
b,byid,10000,20,,1,1781216803,35085.699439,60001.22405125,60006.3916207,0,34658.177357933164,3199.924927,60010.092484,1332,636,0.47748,0.6876876876876877,0,13027,b-byid-rtt10000-r20-rep1-1781216803.json
b,byid,10000,20,,1,1781219076,35005.3257225,60001.3114874,60007.17231013,0,35308.392908847876,5001.212879,60009.922497,1328,645,0.48569,0.8094879518072289,0,12730,b-byid-rtt10000-r20-rep1-1781219076.json
b,byid,1500,10,100,1,1781393963,243.509541,257.403427,262.942468,0,242.2221399914837,188.070095,286.884936,5401,0,0.0,0,1,2441,b-byid-rtt1500-r10-n100-rep1-1781393963.json
b,byid,1500,100,100,1,1781400374,19069.352967,22049.664407700002,23305.44078292,0,18585.007272978877,183.426291,25928.729303,28623,25378,0.88663,0.0004541802047304615,0,2000,b-byid-rtt1500-r100-n100-rep1-1781400374.json
