scenario,style,rtt_us_nominal,rate,n,repeat,epoch,p50_ms,p95_ms,p99_ms,p99_missing,avg_ms,min_ms,max_ms,reqs,dropped_iterations,dropped_ratio,error_rate,valid,calib_p50_us,file
b,batchfetch,0,20,,1,1781167057,6.577042,10.559501,15.561259,0,7.081625226572272,3.018335,44.592651,2401,0,0.0,0,1,50,b-batchfetch-rtt0-r20-rep1-1781167057.json
b,batchfetch,0,20,,1,1781168238,7.8283825,11.878009,16.25492074,0,8.158689145000004,4.146556,37.892343,2400,0,0.0,0,1,40,b-batchfetch-rtt0-r20-rep1-1781168238.json
b,batchfetch,0,20,,1,1781169428,8.657077000000001,14.129104249999996,22.962603919999996,0,9.20568674541668,4.889008,58.317052,2400,0,0.0,0,1,52,b-batchfetch-rtt0-r20-rep1-1781169428.json
b,batchfetch,0,20,,1,1781170616,10.364205,15.397663649999998,19.089064979999993,0,10.643953404999998,6.588329,33.46133,2400,0,0.0,0,1,41,b-batchfetch-rtt0-r20-rep1-1781170616.json
b,batchfetch,10000,20,1000,1,1781223904,91.340417,103.201959,108.378597,0,92.54653711120383,80.250038,185.286178,2401,0,0.0,0,1,13006,b-batchfetch-rtt10000-r20-n1000-rep1-1781223904.json
b,batchfetch,10000,20,500,1,1781220105,84.363209,95.477531,110.910972,0,85.6135461903374,76.84977,261.548593,2401,0,0.0,0,1,11483,b-batchfetch-rtt10000-r20-n500-rep1-1781220105.json
b,batchfetch,10000,20,,1,1781212956,81.68006,86.188117,93.401027,0,81.9361799246146,74.319224,170.105346,2401,0,0.0,0,1,11378,b-batchfetch-rtt10000-r20-rep1-1781212956.json
b,batchfetch,10000,20,,1,1781215161,84.48209449999999,124.49319619999999,201.49273573999992,0,92.55594539375012,75.682155,833.615432,2400,0,0.0,0,1,11536,b-batchfetch-rtt10000-r20-rep1-1781215161.json
b,batchfetch,10000,20,,1,1781217574,89.449386,99.558918,105.917696,0,90.29966149895893,77.564554,248.110845,2401,0,0.0,0,1,12951,b-batchfetch-rtt10000-r20-rep1-1781217574.json
b,batchfetch,1500,20,,1,1781179259,20.482411,26.566517,36.084511,0,21.37049110578925,15.322931,202.323102,2401,0,0.0,0,1,2342,b-batchfetch-rtt1500-r20-rep1-1781179259.json
b,batchfetch,1500,20,,1,1781181245,22.237836,33.387774,46.334797,0,23.801801254477294,15.607155,165.078911,2401,0,0.0,0,1,2329,b-batchfetch-rtt1500-r20-rep1-1781181245.json
b,batchfetch,1500,20,,1,1781183269,23.480951,28.382472,32.539916,0,23.764632619741697,16.578279,82.331701,2401,0,0.0,0,1,2378,b-batchfetch-rtt1500-r20-rep1-1781183269.json
b,batchfetch,1500,20,,1,1781185351,24.152838,29.73376,34.176427,0,24.495159385672654,17.656257,66.181139,2401,0,0.0,0,1,2381,b-batchfetch-rtt1500-r20-rep1-1781185351.json
b,batchfetch,1500,20,,1,1781188713,26.069113,32.477963,38.874897,0,26.509654027905025,18.705718,83.974896,2401,0,0.0,0,1,2380,b-batchfetch-rtt1500-r20-rep1-1781188713.json
b,batchfetch,300,20,,1,1781171938,9.265531,17.219806,30.757392,0,10.459418041649311,6.00677,61.603161,2401,0,0.0,0,1,519,b-batchfetch-rtt300-r20-rep1-1781171938.json
