1784283688.826090 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1739:1792, ack 2306, win 678, options [nop,nop,TS val 3834343557 ecr 1737449648], length 53
1784283688.827875 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2306:2377, ack 1792, win 504, options [nop,nop,TS val 1737449651 ecr 3834343557], length 71
1784283688.828018 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1792:1845, ack 2377, win 678, options [nop,nop,TS val 3834343559 ecr 1737449651], length 53
1784283688.829974 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2377:2448, ack 1845, win 504, options [nop,nop,TS val 1737449652 ecr 3834343559], length 71
1784283688.830147 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1845:1898, ack 2448, win 678, options [nop,nop,TS val 3834343562 ecr 1737449652], length 53
1784283688.831918 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2448:2519, ack 1898, win 504, options [nop,nop,TS val 1737449655 ecr 3834343562], length 71
1784283688.832086 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1898:1951, ack 2519, win 678, options [nop,nop,TS val 3834343563 ecr 1737449655], length 53
1784283688.834039 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2519:2590, ack 1951, win 504, options [nop,nop,TS val 1737449657 ecr 3834343563], length 71
1784283688.834203 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 1951:2004, ack 2590, win 678, options [nop,nop,TS val 3834343566 ecr 1737449657], length 53
1784283688.835830 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2590:2661, ack 2004, win 504, options [nop,nop,TS val 1737449659 ecr 3834343566], length 71
1784283688.835986 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2004:2057, ack 2661, win 678, options [nop,nop,TS val 3834343567 ecr 1737449659], length 53
1784283688.837769 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2661:2732, ack 2057, win 504, options [nop,nop,TS val 1737449660 ecr 3834343567], length 71
1784283688.837889 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2057:2110, ack 2732, win 678, options [nop,nop,TS val 3834343569 ecr 1737449660], length 53
1784283688.839805 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2732:2803, ack 2110, win 504, options [nop,nop,TS val 1737449662 ecr 3834343569], length 71
1784283688.840033 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2110:2163, ack 2803, win 678, options [nop,nop,TS val 3834343571 ecr 1737449662], length 53
