b|lazy-unbounded|300|20|-|N=500,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:56:23
b|joinfetch|300|20|-|N=500,MAX_MEMBER_ID=2000	DONE	2026-06-11 19:58:56
b|byid|300|20|-|N=500,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:01:28
b|inbatch|300|20|-|N=500,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:04:02
b|inbatch-nodup|300|20|-|N=500,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:06:34
b|batchfetch|300|20|-|N=500,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:09:07
b|jdbc-join|300|20|-|N=500,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:11:39
b|jdbc-inbatch|300|20|-|N=500,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:14:12
b|lazy|300|20|-|N=1000,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:16:43
b|lazy-unbounded|300|20|-|N=1000,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:19:16
b|joinfetch|300|20|-|N=1000,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:21:49
b|byid|300|20|-|N=1000,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:24:23
b|inbatch|300|20|-|N=1000,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:26:56
b|inbatch-nodup|300|20|-|N=1000,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:29:29
b|batchfetch|300|20|-|N=1000,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:32:02
b|jdbc-join|300|20|-|N=1000,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:34:34
b|jdbc-inbatch|300|20|-|N=1000,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:37:07
b|lazy|1500|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:40:49
b|lazy-unbounded|1500|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:44:27
